Name;Einwohner;Arbeitsstätten;Beschäftigte;Alter;Einkommen;Erbwerbstätige (15-64);Grundstückspreise;Anzahl an Ehepaaren;Anzahl der Kinder
Spannberg;987;75;260;43.97;41.142;488;31.4;230;1.72
Unserfrau-Altweitra;988;114;279;44.25;35.921;510;24;230;1.75
Polling im Innkreis;988;89;295;43.53;36.288;515;33.3;203;1.61
St. Johann am Wimberg;988;102;274;42.21;38.160;556;35.3;204;1.84
Zillingtal;991;59;124;44.45;46.428;506;91.9;216;1.58
Flirsch;991;53;177;44.18;40.291;444;161;224;1.63
Bad Traunstein;992;149;379;43.81;34.652;537;15.7;218;1.91
Mühldorf;995;81;271;45.73;37.825;457;37.5;305;1.69
Fiss;995;216;730;40.05;40.915;437;937.3;182;1.71
Micheldorf;998;74;374;46.71;38.705;453;41.6;196;1.45
Leopoldschlag;998;98;236;44.48;36.591;537;25.2;224;1.66
Schwand im Innkreis;1000;106;272;41.5;37.837;529;46;212;1.68
Hollenthon;1001;94;200;43.74;39.295;516;36.9;228;1.68
Unterkohlstätten;1002;74;271;46.04;42.786;474;16.7;253;1.51
Gerersdorf-Sulz;1003;80;187;49.29;38.982;451;13.9;241;1.6
Albrechtsberg an der Großen Krems;1005;112;274;46.16;36.220;510;15.8;214;1.6
Unternberg;1007;106;578;41.91;36.688;516;74.4;223;1.86
Heinfels;1008;90;918;41.49;35.689;528;101.6;193;1.81
Neuhaus;1009;95;221;48.22;37.368;471;23.2;189;1.6
Rechberg;1009;75;213;37.96;39.144;548;50.1;229;1.87
Innerbraz;1009;61;222;44.13;42.029;477;136.8;195;1.77
Oberdorf im Burgenland;1010;59;135;46.85;40.089;477;11.5;226;1.59
Hirm;1012;53;376;44.4;43.796;492;56.8;228;1.68
Retzbach;1012;105;234;47.42;37.901;449;13.4;209;1.61
St. Margarethen an der Sierning;1012;106;203;43.75;43.241;528;46.6;230;1.65
Ottenschlag;1013;158;937;46.29;38.819;482;15.3;223;1.68
Gerersdorf;1015;110;337;44.13;46.737;462;66.6;219;1.67
Hochwolkersdorf;1016;98;188;45.62;41.968;497;36.9;228;1.49
Hirschegg-Pack;1017;153;282;48.93;36.502;518;36.8;202;1.48
Franking;1018;87;413;43.93;38.509;570;82.2;218;1.55
Pierbach;1019;100;223;40.43;38.429;541;30.5;216;1.78
Pattigham;1021;89;215;41.23;40.282;504;38.3;199;1.62
Gnesau;1022;112;469;44.55;37.248;522;47.9;209;1.65
Holzhausen;1022;99;615;38.33;46.992;609;167.4;208;1.58
Dietmanns;1025;43;160;48.14;38.284;483;14.1;218;1.44
Pramet;1026;89;429;43.29;38.338;534;29.3;221;1.62
Schollach;1029;70;283;40.96;43.778;551;43.2;215;1.65
Feistritz am Wechsel;1030;97;215;44.93;37.369;539;43;247;1.65
Angath;1031;61;191;40.28;38.522;544;254.4;197;1.72
Doren;1034;107;340;42.91;45.273;546;154.8;222;1.7
Nöchling;1036;104;273;40.58;38.052;571;48.1;217;2.05
Sankt Jakob im Walde;1037;125;271;43.41;36.143;576;21.3;231;1.69
Ramingstein;1038;92;253;46.48;36.563;520;41.6;218;1.43
Droß;1039;71;132;41.34;44.870;544;66.7;234;1.67
Raxendorf;1039;108;227;43.02;32.125;575;31.1;235;1.69
Pernersdorf;1040;70;166;45.99;38.607;462;12.5;207;1.65
Sooß;1042;155;466;45.29;44.794;511;312.3;231;1.57
Riefensberg;1046;129;406;39.94;39.645;559;171.7;213;1.89
Stetteldorf am Wagram;1047;102;240;44.03;42.414;551;52;219;1.59
Eschenau im Hausruckkreis;1047;86;254;42.97;36.202;598;37.9;244;1.77
Burgau;1050;98;345;47.86;37.831;509;19.4;198;1.54
Reinsberg;1051;104;250;39.36;34.158;548;35.5;235;1.81
Lichtenegg;1053;147;323;42.63;37.174;561;36.9;228;1.87
Palting;1055;91;260;41.98;42.886;563;117.9;197;1.57
Weitersfelden;1055;122;285;42.73;38.316;545;25.2;221;1.75
Antiesenhofen;1055;67;335;44.34;34.667;583;30.3;230;1.57
Kirchberg ob der Donau;1058;83;324;42.26;36.690;574;26.5;204;1.73
Röschitz;1060;109;247;46.53;39.286;540;18.7;244;1.62
Sonnberg im Mühlkreis;1060;89;222;39.83;41.808;561;101.6;213;1.69
Klein-Pöchlarn;1063;67;221;43.74;39.874;514;52.8;215;1.55
Werfenweng;1064;121;370;38.03;41.002;559;276.4;192;1.76
Pettnau;1064;72;218;42.83;42.203;597;170.5;228;1.48
Minihof-Liebau;1065;89;286;47.25;36.754;533;10.8;235;1.48
Frankenau-Unterpullendorf;1065;106;193;49.77;40.482;484;20.5;239;1.51
Sankt Kathrein am Offenegg;1065;138;310;46.33;35.661;568;31.9;254;1.64
Krumbach;1066;267;208;43.61;39.592;1196;51;500;1.82
Rossatz-Arnsdorf;1067;139;274;47.86;42.151;518;44.3;251;1.65
Weikersdorf am Steinfelde;1068;104;1588;43.67;47.994;551;80;229;1.59
Kaumberg;1070;114;241;44.05;40.829;554;78.2;208;1.77
Berg im Attergau;1070;97;244;40.48;39.375;583;119.5;227;1.71
Klaus an der Pyhrnbahn;1071;90;358;44.62;40.389;560;44;216;1.67
Dorf an der Pram;1072;99;465;41.28;39.055;576;32.8;216;1.71
Perwang am Grabensee;1073;102;210;41.24;41.662;553;165.8;216;1.69
St. Martin;1074;120;258;45.58;35.059;560;8;244;1.71
Sankt Peter ob Judenburg;1076;107;393;46.15;41.372;546;53.4;230;1.47
Amaliendorf-Aalfang;1078;62;250;45.92;39.166;524;22;232;1.63
Steegen;1078;101;985;44.07;37.158;543;42.9;208;1.78
Ratten;1078;132;632;47.45;36.859;554;26.2;234;1.59
Feld am See;1080;104;261;46.58;40.844;507;46.5;231;1.54
Kautzen;1082;108;327;48.12;36.040;517;13.6;220;1.56
Deutsch Schützen-Eisenberg;1083;119;230;51.63;40.871;476;7.8;257;1.41
Martinsberg;1085;134;443;44.64;35.748;568;15.7;243;1.77
Patsch;1089;97;255;42.73;45.783;574;569.1;219;1.66
St. Leonhard am Hornerwald;1090;162;393;45.41;37.472;568;25;241;1.72
Eggendorf im Traunkreis;1090;74;142;38.77;47.702;531;129.2;226;1.7
Ranggen;1090;75;182;40.33;41.224;597;337.7;236;1.81
Neutal;1091;112;1180;45.72;41.144;490;31.6;255;1.58
Drasenhofen;1091;136;498;48.26;39.217;495;20.2;241;1.7
Rabensburg;1091;55;103;48.29;43.975;427;20;241;1.59
St. Margareten im Rosental;1092;81;142;44.84;43.550;512;32.1;211;1.58
Puchkirchen am Trattberg;1092;99;346;39.63;41.501;565;44.2;245;1.85
Erlauf;1093;77;220;44.08;39.065;515;44.8;228;1.73
Schönberg im Stubaital;1097;85;460;40.7;39.009;561;362.1;211;1.79
Zagersdorf;1101;70;208;46.13;44.681;495;73.5;251;1.46
Moosbach;1102;89;204;40.18;38.240;563;37.3;198;1.61
Kirnberg an der Mank;1104;97;242;40.89;35.311;585;29.1;225;1.8
St. Stefan-Afiesl;1104;29;82;43.77;37.356;155;22.5;67;1.73
Drösing;1106;69;160;47.35;43.150;506;35.9;242;1.49
Jedenspeigen;1106;73;138;47.35;44.541;499;35.9;265;1.46
Großharras;1107;86;273;47.29;38.720;527;17.2;255;1.63
Rottenbach;1107;102;378;41.56;38.250;613;39.9;222;1.73
Weiten;1110;102;344;43.77;35.201;562;31.1;242;1.81
Lans;1111;132;620;42.13;47.073;611;569.1;202;1.61
Bizau;1111;98;432;40.19;38.547;591;239.1;219;1.78
Laab im Walde;1114;93;406;48.5;60.164;524;273;220;1.57
St. Oswald;1117;118;294;41.2;33.914;602;31.1;257;1.94
Schleedorf;1119;100;260;40.55;43.168;604;184.9;234;1.75
Kals am Großglockner;1120;131;368;43.93;37.922;562;84.5;216;1.6
St. Willibald;1122;96;469;43.61;36.064;602;26.2;252;1.57
Niederthalheim;1132;103;237;40.22;39.670;555;52.2;244;1.94
Aurach bei Kitzbühel;1132;164;507;48.15;38.504;516;607.5;223;1.51
Tannheim;1132;163;719;42.41;33.272;574;140.5;195;1.63
Bruck am Ziller;1132;79;148;41.21;38.182;587;280.7;237;1.75
Litzelsdorf;1133;102;308;46.65;38.515;547;13.6;261;1.52
Nußdorf am Attersee;1133;174;417;45.67;47.398;570;217.6;246;1.64
Hochleithen;1136;85;159;46.31;45.427;578;130.6;276;1.55
Lermoos;1138;157;770;44.18;33.890;529;221.8;223;1.54
Sigleß;1139;88;258;46.54;44.287;576;63.6;266;1.58
Mariasdorf;1139;74;201;47.62;41.645;551;16.7;260;1.54
Prägraten am Großvenediger;1144;92;189;42.69;36.160;578;84.5;201;1.81
Ranten;1145;114;228;44.56;37.874;610;31.3;248;1.69
Ellbögen;1146;69;137;42.05;39.701;615;148.9;230;1.65
Mogersdorf;1148;96;209;47;36.548;527;11;227;1.51
Leitzersdorf;1150;131;239;45.98;46.611;625;105.2;271;1.6
Gnadendorf;1150;112;203;46.2;40.450;563;13.7;266;1.67
Arnreit;1151;111;379;40.5;38.027;624;36.1;238;1.91
Serfaus;1151;245;739;42.63;41.450;505;937.3;211;1.65
Lackenbach;1154;84;284;48.15;42.242;482;19.5;253;1.62
Guntersdorf;1156;110;298;44.99;37.586;585;21.1;248;1.69
St. Konrad;1158;112;271;41.32;38.567;596;85.4;257;1.76
Langenegg;1159;114;601;39.58;40.997;616;154.8;229;1.83
Wörschach;1161;86;265;44.95;38.899;568;63.2;233;1.6
Tadten;1163;130;358;50.06;44.267;549;30.7;300;1.48
Wald im Pinzgau;1164;151;445;42.85;34.334;574;157.9;239;1.61
Wiesfleck;1165;83;178;42.84;35.962;612;23.9;271;1.59
Kleblach-Lind;1166;114;253;44.17;41.329;549;39.8;253;1.62
Grundlsee;1167;111;393;49.5;37.008;570;141.5;224;1.45
Walpersbach;1168;89;170;43.03;43.670;561;109.8;247;1.58
Haringsee;1170;93;210;44.76;41.903;576;57.5;265;1.64
Zederhaus;1170;86;186;41.77;36.670;595;47.8;259;1.86
Geretsberg;1171;98;586;42.05;37.260;612;53.4;233;1.71
Klöch;1173;164;475;48.18;39.849;592;25.2;251;1.44
Itter;1173;127;476;44.08;41.889;620;278.6;250;1.63
St. Anton an der Jeßnitz;1175;131;231;42.8;33.775;635;35.9;243;1.81
Wolfsthal;1176;69;234;39.88;42.346;382;139.6;228;1.78
Hirschbach im Mühlkreis;1177;116;333;43.33;39.276;615;34.2;269;1.73
Waldenstein;1178;100;167;42.82;37.048;671;18.8;265;1.71
Oberdrauburg;1180;91;264;45.34;38.198;530;50.4;249;1.58
Pillichsdorf;1181;79;223;43.24;47.043;588;191.4;257;1.68
Gastern;1181;112;430;46.65;36.213;619;13.6;265;1.6
Pfaffstätt;1181;75;1131;41.76;41.308;585;74;227;1.58
Bromberg;1183;128;387;43.91;38.999;633;36.9;280;1.69
Gurk;1184;117;368;46.24;37.460;574;39.9;234;1.51
Flattach;1185;118;426;43.39;41.488;570;46.8;231;1.68
Waldkirchen am Wesen;1185;112;373;44.19;39.465;634;25.2;244;1.63
Pfaffenhofen;1185;82;449;39.97;39.475;590;226.3;227;1.73
Trebesing;1189;101;224;43.86;37.947;569;47.2;244;1.75
Floing;1189;111;280;44.22;35.102;611;33.5;256;1.53
Michaelerberg-Pruggern;1193;109;483;42.45;34.388;575;86.6;233;1.75
Tieschen;1196;137;292;47.9;38.477;605;25.2;257;1.49
Gurten;1198;102;1225;43.13;38.749;638;40.7;245;1.53
Winklern;1200;109;523;45.79;39.859;541;46.8;200;1.55
Schildorn;1200;96;210;41.73;37.747;687;29.3;239;1.66
Loipersbach im Burgenland;1201;68;210;45.97;38.836;572;55.2;271;1.56
Sulz im Weinviertel;1201;98;288;46.63;41.325;606;31.4;279;1.55
Nappersdorf-Kammersdorf;1202;117;233;48.29;39.000;600;18.4;290;1.65
Pill;1202;96;566;41.46;41.524;643;180.9;245;1.62
Scharndorf;1203;97;199;45.72;49.960;593;98.1;255;1.6
Kirchberg bei Mattighofen;1204;104;247;41.85;40.353;670;88.1;250;1.69
Sankt Martin bei Lofer;1206;124;425;42.82;34.101;617;162.1;241;1.71
Drosendorf-Zissersdorf;1207;193;399;48.43;36.934;515;21.9;220;1.6
Allhaming;1208;126;1106;42.29;45.799;653;126.8;247;1.52
Neufelden;1209;146;1051;43.59;41.027;635;47.6;271;1.77
Dellach;1210;105;314;47.29;37.536;572;36.5;265;1.56
Kitzeck im Sausal;1214;147;678;46.31;47.165;603;34.6;259;1.53
Zelking-Matzleinsdorf;1215;96;213;44.18;39.151;642;44.8;258;1.58
Innerschwand am Mondsee;1215;137;353;41.4;41.457;652;217.6;238;1.72
Eberstein;1216;134;342;46.29;39.244;562;38.3;231;1.56
Leithaprodersdorf;1217;115;296;42.29;42.871;629;95.7;281;1.68
Stinatz;1218;74;164;46.72;43.333;499;14.1;275;1.58
Waldhausen;1220;130;572;44.95;37.139;635;15.3;264;1.66
Großschönau;1221;153;399;42.74;35.983;626;24;274;1.79
Jaidhof;1222;128;276;40.9;37.056;654;25;226;1.72
Klingenbach;1223;82;184;45.64;42.442;568;73.5;255;1.43
Pfons;1224;74;249;42.91;39.509;641;148.9;274;1.6
Draßburg;1226;75;295;45.69;45.203;559;55.2;262;1.54
Atzbach;1229;130;571;41.47;38.547;648;65.6;255;1.81
Anras;1229;91;267;42.14;35.071;598;64.5;269;1.94
Neusiedl an der Zaya;1230;96;274;46.48;39.731;549;22.2;266;1.62
Pama;1232;119;322;43.89;44.879;535;52.8;268;1.56
Höflein;1232;121;291;43.42;44.379;653;98.1;285;1.7
Ringelsdorf-Niederabsdorf;1234;72;191;47.08;41.127;574;35.9;289;1.63
Laussa;1235;119;281;41.7;40.444;672;53.8;280;1.86
Bischofstetten;1236;104;221;42.72;35.748;644;37.7;258;1.69
Zell am Pettenfirst;1236;90;227;42.35;42.504;625;57.3;264;1.7
Gitschtal;1240;132;393;47.35;35.718;564;36.5;272;1.64
Haunoldstein;1240;76;143;40.31;37.604;647;59.8;228;1.66
Ardning;1240;89;283;47.31;41.663;617;47.7;265;1.44
Strengen;1240;34;143;41.64;38.270;589;161;293;1.73
Artstetten-Pöbring;1241;111;308;41.54;37.541;624;31.1;275;1.7
Weinzierl am Walde;1244;140;295;45.46;38.147;657;15.8;289;1.63
Grafenschachen;1249;92;639;44.15;39.256;654;20.7;279;1.52
Fresach;1249;108;188;45.43;38.033;597;46.5;257;1.55
Ried im Oberinntal;1250;155;846;42.07;36.775;595;161;243;1.6
Sieggraben;1251;89;312;45.06;41.970;591;25.9;268;1.6
Hollersbach im Pinzgau;1251;142;723;42.28;37.776;637;236.5;270;1.58
Markt Sankt Martin;1253;99;468;45.18;42.781;587;20.1;272;1.66
See;1253;79;301;39.03;37.448;599;143.6;282;1.89
Höfen;1253;91;595;44.87;40.478;620;143.8;277;1.63
Unterlamm;1254;97;255;45.58;35.409;639;22.9;246;1.52
Thomasberg;1256;125;1091;43.52;38.400;625;43;274;1.69
Berg im Drautal;1257;124;315;45.72;38.439;579;50.4;287;1.58
Sankt Peter im Sulmtal;1258;87;451;46.1;39.834;599;26.4;249;1.55
Ertl;1259;118;289;39.83;37.984;734;47.3;287;1.93
Michaelnbach;1259;127;336;42.23;38.923;656;41.6;275;1.77
Sankt Oswald bei Plankenwarth;1259;95;185;45.24;45.174;652;62.8;267;1.58
Gabersdorf;1259;143;733;40.58;35.505;655;33.4;232;1.51
Unzmarkt-Frauenburg;1259;108;364;49.13;38.591;583;44.9;258;1.49
Plainfeld;1261;134;338;42.59;45.480;718;217.2;271;1.72
Lend;1261;107;531;44.61;37.709;616;141.1;274;1.7
Heiligenkreuz im Lafnitztal;1262;118;481;47.36;39.331;557;11;247;1.42
Zemendorf-Stöttera;1263;128;348;44.88;41.006;654;56.7;277;1.65
Mining;1264;86;193;42.99;42.908;623;47.7;282;1.53
Gutenstein;1267;122;479;48.81;38.059;529;55.6;203;1.73
Weißenbach am Lech;1267;82;275;44.37;38.720;647;111.8;269;1.61
Petronell-Carnuntum;1269;95;346;45.25;46.755;574;96.1;261;1.5
Geras;1269;165;575;47.27;39.814;632;21.9;292;1.66
St. Veit im Mühlkreis;1270;111;286;42.93;43.360;651;35.3;277;1.73
Oslip;1271;92;291;47.17;46.776;593;68.3;296;1.55
Haibach ob der Donau;1271;140;366;44.49;41.597;731;41.1;282;1.69
Allerheiligen im Mühlkreis;1271;99;228;41.8;39.455;676;50.1;278;1.71
Mühldorf;1273;81;271;45.73;37.825;457;37.5;305;1.69
Brand-Laaben;1274;137;312;44.41;42.430;629;58.6;243;1.59
Hochfilzen;1275;108;483;42.29;38.486;595;174.5;247;1.61
Lesachtal;1277;187;443;44.14;33.927;616;36.5;242;1.93
Echsenbach;1277;104;514;42.54;35.974;647;18.3;272;1.71
Ried im Zillertal;1278;96;654;41.71;36.723;671;414.4;227;1.51
Steinberg-Dörfl;1279;95;481;46.42;42.133;613;20.5;301;1.53
Sallingberg;1280;156;454;45.88;34.407;642;15.3;288;1.71
Schiedlberg;1280;164;508;42.13;41.648;661;100.4;281;1.69
Polling in Tirol;1282;88;462;37.79;39.351;659;220.6;255;1.73
Hauskirchen;1283;60;136;45.7;41.347;586;22.2;274;1.63
Ebersdorf;1285;131;414;42.45;35.277;697;21.7;273;1.58
Großsteinbach;1286;112;332;44;40.004;659;17.3;286;1.56
Waidhofen an der Thaya-Land;1287;94;155;41.53;37.984;716;16.7;277;1.76
Mellau;1288;152;640;41.45;38.782;675;273.3;260;1.92
Gaishorn am See;1289;106;496;46.44;40.670;644;51.3;273;1.48
St. Bernhard-Frauenhofen;1295;152;701;44.08;38.691;664;32.3;295;1.6
Baumkirchen;1297;78;145;42.75;43.986;708;487.9;266;1.67
Bergern im Dunkelsteinerwald;1299;111;208;44.87;41.638;659;44.3;295;1.62
Ort im Innkreis;1299;114;722;40.43;36.943;670;30.3;260;1.74
Seckau;1302;135;400;44.27;40.889;608;49.7;271;1.63
Kirchberg am Walde;1305;120;308;45.49;34.607;624;13.2;293;1.73
Bad Großpertholz;1308;143;437;47.22;36.517;627;15;290;1.68
Mötz;1308;63;143;41.33;44.227;624;190.6;260;1.59
Großkirchheim;1309;110;286;44.84;37.016;562;46.8;241;1.71
Hardegg;1309;129;366;48.46;38.056;608;13.4;301;1.61
Flaurling;1309;81;270;41.16;39.000;699;226.3;268;1.67
Eschenau;1310;125;386;43.3;38.192;680;61.1;269;1.7
Klaffer am Hochficht;1312;79;229;44.13;38.132;690;20.2;287;1.59
Groß-Schweinbarth;1313;94;309;42.81;44.094;661;82.3;307;1.73
St. Gotthard im Mühlkreis;1315;96;194;43.71;41.487;689;64.2;293;1.7
Grimmenstein;1318;118;1011;46.6;40.921;635;61;249;1.53
Aich;1319;122;476;41.97;36.185;661;86.6;250;1.76
Kaltenbach;1319;142;1187;41.72;37.920;650;272.8;243;1.63
Hohenwarth-Mühlbach a.M.;1320;114;269;46.65;37.694;614;17.3;287;1.57
Reichenau im Mühlkreis;1321;101;250;41.87;44.673;719;73.1;281;1.69
Arriach;1326;137;276;46.79;37.431;654;35.2;278;1.56
Hohenweiler;1327;83;178;42.09;43.726;694;313.2;283;1.74
Bockfließ;1328;123;304;46.64;46.814;614;134.5;314;1.62
Handenberg;1328;137;375;41.89;39.777;706;50.7;266;1.7
Lambrechten;1328;132;473;42.43;35.972;741;30.3;266;1.78
Mettersdorf am Saßbach;1330;131;630;46.17;36.719;663;13.1;269;1.51
St. Georgen an der Leys;1332;138;348;41.87;34.723;747;35.9;304;1.74
Gries am Brenner;1332;113;425;42.4;38.651;658;101.4;238;1.78
Edelsbach bei Feldbach;1333;132;590;43.83;36.701;694;23.7;294;1.65
Burgauberg-Neudauberg;1334;118;331;45.87;35.766;674;14.1;308;1.61
Hüttenberg;1334;139;297;49.42;37.230;631;41.6;271;1.58
Gaal;1334;166;351;45.49;37.943;656;49.7;320;1.63
Sachsenburg;1336;83;671;43.44;37.453;599;39.8;257;1.64
Burgschleinitz-Kühnring;1337;139;331;44.93;37.079;684;18.7;295;1.67
Eggerding;1339;118;277;41.5;37.859;704;23.3;276;1.7
Kraubath an der Mur;1339;101;361;46.16;43.681;641;45.9;281;1.46
Sellrain;1339;56;103;45.17;39.387;690;197.8;296;1.59
Palterndorf-Dobermannsdorf;1341;84;201;45.76;40.232;578;22.2;297;1.57
Tobaj;1342;127;408;45.82;37.467;649;11.9;281;1.52
Naas;1343;114;324;43.26;36.276;780;46;306;1.62
Schäffern;1343;153;308;42.52;36.547;712;27.7;289;1.76
Oberndorf bei Schwanenstadt;1344;80;414;45.12;42.631;711;65.6;322;1.67
Fischlham;1345;131;440;43.85;45.047;711;63.1;310;1.66
Trins;1345;93;185;42.78;43.097;712;224.3;267;1.63
Mölbling;1347;134;313;42.61;42.202;663;37.2;270;1.59
Eichkögl;1347;105;192;41.56;38.508;689;23.7;284;1.62
St. Leonhard bei Freistadt;1348;117;294;44.74;39.518;728;25.2;308;1.69
Lang;1351;141;540;42.97;43.260;727;71.4;266;1.53
St. Georgen bei Grieskirchen;1352;100;673;39.7;42.518;762;61.5;246;1.62
Loipersdorf-Kitzladen;1353;96;539;41.18;34.602;678;20.7;285;1.62
Eckartsau;1353;130;311;44.13;40.376;647;57.5;275;1.55
Großwarasdorf;1354;136;306;51.4;40.334;568;14.6;317;1.46
Leiben;1355;94;256;43.75;38.992;711;29;272;1.63
Scharnitz;1355;82;184;44.7;37.923;598;157.8;269;1.6
Winden am See;1357;104;211;44.66;43.444;656;82.5;297;1.55
Viehdorf;1361;120;324;43.09;38.707;673;46.6;300;1.72
Großgöttfritz;1361;169;829;42.96;34.027;784;18.5;318;1.68
Stetten;1362;134;551;42.55;48.367;711;177.9;305;1.53
Kapelln;1363;139;365;42.61;40.120;759;42.4;284;1.72
Stoob;1370;133;874;45.73;41.183;698;31.6;309;1.61
Gilgenberg am Weilhart;1371;120;382;42.66;36.696;713;50.7;279;1.65
Draßmarkt;1372;124;386;47.72;41.608;647;20.1;293;1.6
Grins;1375;59;440;43.5;40.683;656;161;319;1.8
Sandl;1379;123;297;44.41;36.832;713;25.2;302;1.76
Kasten bei Böheimkirchen;1380;139;332;41.87;43.776;718;58.6;282;1.74
Müllendorf;1384;113;879;45.21;47.800;719;123.8;324;1.6
Krakau;1385;145;253;45.83;36.716;754;31.3;309;1.63
St. Leonhard im Pitztal;1388;134;599;42.51;37.101;686;104;302;1.64
Hoheneich;1389;80;308;48.41;41.314;638;18.8;326;1.55
Heldenberg;1389;111;211;42.01;42.329;680;37.2;290;1.59
Neudorf im Weinviertel;1390;111;228;43.26;40.505;697;20.2;290;1.69
Sankt Andrä am Zicksee;1392;147;572;48.36;44.613;622;53;328;1.5
Zöbern;1393;158;415;45.2;39.527;751;51;318;1.73
Wang;1394;129;290;39.95;36.279;749;42.7;291;1.87
Rußbach;1398;142;297;43.7;41.290;738;53;325;1.66
Thaya;1399;114;263;43.96;39.209;747;13.6;288;1.67
Weißenkirchen in der Wachau;1400;226;710;47.67;44.360;726;166.5;340;1.56
Nikitsch;1402;127;262;52.21;42.361;525;9.3;304;1.62
Achau;1402;138;825;42.7;48.399;768;234.6;290;1.51
Königsbrunn am Wagram;1404;101;367;43.4;41.583;711;61.2;301;1.56
Wenigzell;1404;189;543;44.84;37.650;708;21.3;336;1.68
Obsteig;1404;130;318;41.4;40.914;686;197.4;256;1.68
Empersdorf;1406;108;388;44.48;42.277;758;44;288;1.43
Weinburg;1407;86;1178;41.54;39.783;718;78.9;292;1.6
Grinzens;1410;75;171;42;39.221;741;344.3;294;1.56
Gattendorf;1412;93;236;42.15;43.208;601;126.7;290;1.59
Waldburg;1412;115;239;41.41;40.327;717;40.1;303;1.77
Scheffau am Tennengebirge;1413;136;366;41.46;41.767;706;337.6;302;1.79
Finkenberg;1413;174;570;45.6;35.163;718;278.5;291;1.57
Schlatt;1416;92;328;42.29;41.256;708;81;277;1.74
Schützen am Gebirge;1417;100;260;46.06;46.587;629;77.7;326;1.56
Pfarrkirchen im Mühlkreis;1417;154;432;42.7;35.889;783;19.7;318;1.96
Traboch;1417;177;995;46.01;44.943;715;60.1;291;1.45
Hohe Wand;1420;136;293;44.51;49.639;707;87.6;307;1.52
Hargelsberg;1420;122;301;40.67;48.002;746;159.1;317;1.64
Geinberg;1420;109;1177;42.65;37.529;762;40.7;257;1.6
Lengenfeld;1422;111;271;43.6;40.989;731;57.2;313;1.59
Schleißheim;1422;98;213;40.08;49.842;762;142.3;295;1.67
Weng im Innkreis;1425;118;864;44.01;37.700;734;38.6;270;1.54
Kematen am Innbach;1425;97;270;39.68;39.290;784;71.1;288;1.71
Statzendorf;1426;124;470;42;38.191;748;62;295;1.6
Reith bei Seefeld;1426;146;464;42.98;45.093;692;340.4;214;1.55
Perschling;1431;242;493;42.33;39.970;742;48.5;315;1.67
Sankt Lorenzen am Wechsel;1432;151;317;45.32;37.236;772;21.3;331;1.66
Rotenturm an der Pinka;1433;117;370;45.58;38.880;689;11.5;311;1.57
Afritz am See;1433;101;302;47.39;39.396;642;46.5;274;1.57
Irnfritz-Messern;1433;154;431;43.35;35.245;715;21.9;306;1.71
Wolfau;1435;94;347;43.02;36.679;721;13.6;268;1.57
Maria Schmolln;1436;134;469;45.02;38.038;746;42.7;280;1.61
Fügenberg;1436;130;328;40.19;36.498;752;228.8;280;1.73
Tattendorf;1440;165;550;43.76;49.138;734;158.8;292;1.57
Geboltskirchen;1440;124;287;42.94;38.085;748;45.9;315;1.82
Neustift im Mühlkreis;1440;119;354;41.92;37.899;743;19.7;317;1.78
Freinberg;1440;90;933;45.94;37.228;638;43;299;1.66
Ebenau;1440;138;389;42.13;43.169;707;160.4;299;1.7
Gaschurn;1441;164;555;45.61;42.377;631;204;289;1.52
Höhnhart;1443;147;560;42.41;37.208;753;33.9;271;1.63
Hippach;1443;129;256;41.42;33.263;741;310.1;293;1.72
Mühlbach am Hochkönig;1444;143;481;46.54;38.111;661;151.8;281;1.65
Spital am Semmering;1444;155;775;51.05;40.792;635;43.1;307;1.49
Rohr bei Hartberg;1444;117;346;45.66;35.953;729;16.2;326;1.41
Rohr im Kremstal;1445;119;465;40.17;41.353;748;91.9;311;1.68
Kohfidisch;1448;102;328;47.47;41.943;642;7.8;325;1.45
Göttlesbrunn-Arbesthal;1450;177;638;44.35;47.662;724;110;336;1.6
Petzenkirchen;1450;238;1038;43.11;43.780;722;49.1;289;1.56
Kottes-Purk;1451;194;537;45.57;33.557;746;15.8;321;1.7
Prottes;1452;94;273;43.79;44.857;689;70.8;320;1.59
Mühlbachl;1453;91;598;45.1;35.189;658;148.9;255;1.82
Söchau;1454;111;319;47.41;35.839;686;25.6;296;1.46
Olbendorf;1457;387;526;47.87;41.243;618;10.9;297;1.47
Sankt Bartholomä;1457;125;374;43.81;45.369;729;62.8;298;1.56
Oberlienz;1458;118;312;43.57;36.916;794;130.4;297;1.68
Hohenberg;1460;136;588;47.28;40.656;710;60.9;298;1.62
Waldbach-Mönichwald;1461;179;441;46.67;35.410;729;21.3;334;1.68
Tristach;1461;87;197;42.99;37.877;701;152.6;300;1.75
Hüttau;1465;155;399;42.74;34.339;757;97.6;305;1.69
Lafnitz;1466;124;862;43.36;38.720;716;25.4;290;1.62
Kreuttal;1468;104;202;46.8;47.119;727;94.4;325;1.54
Hatting;1469;93;171;40.4;42.558;811;396.6;301;1.71
Seebenstein;1470;77;246;42.69;45.803;787;81.2;291;1.58
Neudau;1474;104;510;43.31;35.436;596;19.4;269;1.8
Großengersdorf;1477;110;340;43.7;43.694;731;134.5;349;1.75
Sölk;1478;159;368;44.73;35.232;786;62.7;319;1.67
Breitenwang;1479;86;2843;44.11;45.290;738;173.4;311;1.59
Neumarkt im Hausruckkreis;1480;132;850;43.48;39.150;697;41.6;300;1.72
